	Identifier	PE	GRAVY	Description
18	NX_A0A087WXS9-1	2	-0.6690346083788701	"NX_A0A087WXS9-1
nP20K TBC1D3I
TBC1D3I TBC1 domain
family member 3I
isoform Iso 1 PE=2"
19	NX_A0A087X0M5-1	3	-0.31391304347826077	"NX_A0A087X0M5-1
nP20K TRBV18 TRBV18
T cell receptor beta
variable 18 isoform
Iso 1 PE=3"
20	NX_A0A087X179-1	2	-0.6633879781420758	"NX_A0A087X179-1
nP20K TBC1D3E
TBC1D3E TBC1 domain
family member 3E
isoform Iso 1 PE=2"
21	NX_A0A087X1G2-1	2	-0.6557377049180321	"NX_A0A087X1G2-1
nP20K TBC1D3K
TBC1D3K TBC1 domain
family member 3K
isoform Iso 1 PE=2"
22	NX_A0A096LNP1-1	2	-0.04571428571428576	"NX_A0A096LNP1-1
nP20K DEFB131B
DEFB131B Beta-
defensin 131B
isoform Iso 1 PE=2"
23	NX_A0A096LP55-1	2	-1.0769230769230775	"NX_A0A096LP55-1
nP20K UQCRHL UQCRHL
Cytochrome b-c1
complex subunit
6-like,
mitochondrial
isoform Iso 1 PE=2"
24	NX_A0A096LPI5-1	2	-0.27499999999999997	"NX_A0A096LPI5-1
nP20K GVQW2 GVQW2
Protein GVQW2
isoform Iso 1 PE=2"
25	NX_A0A0A0MRZ8-1	3	-0.13217391304347825	"NX_A0A0A0MRZ8-1
nP20K IGKV3D-11
IGKV3D-11
Immunoglobulin kappa
variable 3D-11
isoform Iso 1 PE=3"
26	NX_A0A0A0MT36-1	3	-0.19035087719298244	"NX_A0A0A0MT36-1
nP20K IGKV6D-21
IGKV6D-21
Immunoglobulin kappa
variable 6D-21
isoform Iso 1 PE=3"
27	NX_A0A0A0MT70-1	4	0.8235294117647058	"NX_A0A0A0MT70-1
nP20K TRBJ2-6
TRBJ2-6 T cell
receptor beta
joining 2-6 isoform
Iso 1 PE=4"
28	NX_A0A0A0MT76-1	4	-0.3476190476190474	"NX_A0A0A0MT76-1
nP20K IGLJ1 IGLJ1
Immunoglobulin
lambda joining 1
isoform Iso 1 PE=4"
29	NX_A0A0A0MT78-1	4	-0.5733333333333331	"NX_A0A0A0MT78-1
nP20K TRBJ2-7
TRBJ2-7 T cell
receptor beta
joining 2-7 isoform
Iso 1 PE=4"
30	NX_A0A0A0MT87-1	4	0.23125	"NX_A0A0A0MT87-1
nP20K TRBJ2-4
TRBJ2-4 T cell
receptor beta
joining 2-4 isoform
Iso 1 PE=4"
31	NX_A0A0A0MT89-1	4	-0.5333333333333332	"NX_A0A0A0MT89-1
nP20K IGKJ1 IGKJ1
Immunoglobulin kappa
joining 1 isoform
Iso 1 PE=4"
32	NX_A0A0A0MT94-1	4	0.17499999999999993	"NX_A0A0A0MT94-1
nP20K TRBJ2-2
TRBJ2-2 T cell
receptor beta
joining 2-2 isoform
Iso 1 PE=4"
33	NX_A0A0A0MTA4-1	4	-0.11333333333333305	"NX_A0A0A0MTA4-1
nP20K TRBJ2-5
TRBJ2-5 T cell
receptor beta
joining 2-5 isoform
Iso 1 PE=4"
34	NX_A0A0A0MTA7-1	4	-0.21875	"NX_A0A0A0MTA7-1
nP20K TRBJ2-1
TRBJ2-1 T cell
receptor beta
joining 2-1 isoform
Iso 1 PE=4"
35	NX_A0A0A6YYD4-1	3	-0.27661290322580656	"NX_A0A0A6YYD4-1
nP20K TRBV13 TRBV13
T cell receptor beta
variable 13 isoform
Iso 1 PE=3"
36	NX_A0A0A6YYG2-1	3	-0.028947368421052617	"NX_A0A0A6YYG2-1
nP20K TRBV6-6
TRBV6-6 T cell
receptor beta
variable 6-6 isoform
Iso 1 PE=3"
37	NX_A0A0A6YYG3-1	3	-0.024778761061946764	"NX_A0A0A6YYG3-1
nP20K TRBV6-8
TRBV6-8 T cell
receptor beta
variable 6-8 isoform
Iso 1 PE=3"
38	NX_A0A0A6YYJ7-1	3	0.049557522123893916	"NX_A0A0A6YYJ7-1
nP20K TRAV8-3
TRAV8-3 T cell
receptor alpha
variable 8-3 isoform
Iso 1 PE=3"
39	NX_A0A0A6YYK1-1	3	0.15663716814159295	"NX_A0A0A6YYK1-1
nP20K TRAV8-1
TRAV8-1 T cell
receptor alpha
variable 8-1 isoform
Iso 1 PE=3"
40	NX_A0A0A6YYK6-1	3	-0.163302752293578	"NX_A0A0A6YYK6-1
nP20K TRAV16 TRAV16
T cell receptor
alpha variable 16
isoform Iso 1 PE=3"
41	NX_A0A0B4J1U6-1	3	-0.014912280701754333	"NX_A0A0B4J1U6-1
nP20K TRBV9 TRBV9 T
cell receptor beta
variable 9 isoform
Iso 1 PE=3"
42	NX_A0A0B4J200-1	4	-0.26249999999999996	"NX_A0A0B4J200-1
nP20K TRBJ2-3
TRBJ2-3 T cell
receptor beta
joining 2-3 isoform
Iso 1 PE=4"
43	NX_A0A0B4J234-1	3	0.12678571428571433	"NX_A0A0B4J234-1
nP20K TRAV2 TRAV2 T
cell receptor alpha
variable 2 isoform
Iso 1 PE=3"
44	NX_A0A0B4J235-1	3	-0.15663716814159287	"NX_A0A0B4J235-1
nP20K TRAV13-2
TRAV13-2 T cell
receptor alpha
variable 13-2
isoform Iso 1 PE=3"
45	NX_A0A0B4J237-1	3	0.18672566371681412	"NX_A0A0B4J237-1
nP20K TRAV8-2
TRAV8-2 T cell
receptor alpha
variable 8-2 isoform
Iso 1 PE=3"
46	NX_A0A0B4J238-1	3	-0.1490566037735849	"NX_A0A0B4J238-1
nP20K TRAV1-2
TRAV1-2 T cell
receptor alpha
variable 1-2 isoform
Iso 1 PE=3"
47	NX_A0A0B4J240-1	3	-0.29912280701754396	"NX_A0A0B4J240-1
nP20K TRAV10 TRAV10
T cell receptor
alpha variable 10
isoform Iso 1 PE=3"
48	NX_A0A0B4J244-1	3	-0.009649122807017557	"NX_A0A0B4J244-1
nP20K TRAV3 TRAV3 T
cell receptor alpha
variable 3 isoform
Iso 1 PE=3"
49	NX_A0A0B4J245-1	3	-0.17142857142857132	"NX_A0A0B4J245-1
nP20K TRAV12-1
TRAV12-1 T cell
receptor alpha
variable 12-1
isoform Iso 1 PE=3"
50	NX_A0A0B4J248-1	3	-0.09166666666666679	"NX_A0A0B4J248-1
nP20K TRAV1-1
TRAV1-1 T cell
receptor alpha
variable 1-1 isoform
Iso 1 PE=3"
51	NX_A0A0B4J249-1	3	-0.20088495575221238	"NX_A0A0B4J249-1
nP20K TRAV5 TRAV5 T
cell receptor alpha
variable 5 isoform
Iso 1 PE=3"
52	NX_A0A0B4J262-1	3	0.19292035398230079	"NX_A0A0B4J262-1
nP20K TRAV8-6
TRAV8-6 T cell
receptor alpha
variable 8-6 isoform
Iso 1 PE=3"
53	NX_A0A0B4J264-1	3	-0.2706896551724139	"NX_A0A0B4J264-1
nP20K TRAV38-1
TRAV38-1 T cell
receptor alpha
variable 38-1
isoform Iso 1 PE=3"
54	NX_A0A0B4J265-1	3	-0.23119266055045862	"NX_A0A0B4J265-1
nP20K TRAV26-2
TRAV26-2 T cell
receptor alpha
variable 26-2
isoform Iso 1 PE=3"
55	NX_A0A0B4J266-1	3	0.10357142857142862	"NX_A0A0B4J266-1
nP20K TRAV41 TRAV41
T cell receptor
alpha variable 41
isoform Iso 1 PE=3"
56	NX_A0A0B4J273-1	3	-0.2562499999999999	"NX_A0A0B4J273-1
nP20K TRAV34 TRAV34
T cell receptor
alpha variable 34
isoform Iso 1 PE=3"
57	NX_A0A0B4J275-1	3	-0.3660714285714287	"NX_A0A0B4J275-1
nP20K TRAV17 TRAV17
T cell receptor
alpha variable 17
isoform Iso 1 PE=3"
58	NX_A0A0B4J276-1	3	-0.30183486238532115	"NX_A0A0B4J276-1
nP20K TRAV25 TRAV25
T cell receptor
alpha variable 25
isoform Iso 1 PE=3"
59	NX_A0A0B4J280-1	3	-0.09904761904761905	"NX_A0A0B4J280-1
nP20K TRAV40 TRAV40
T cell receptor
alpha variable 40
isoform Iso 1 PE=3"
60	NX_A0A0B4J2A2-1	2	-0.3713414634146343	"NX_A0A0B4J2A2-1
nP20K PPIAL4C
PPIAL4C Peptidyl-
prolyl cis-trans
isomerase A-like 4C
isoform Iso 1 PE=2"
61	NX_A0A0B4J2F2-1	2	-0.1979565772669209	"NX_A0A0B4J2F2-1
nP20K SIK1B SIK1B
Probable
serine/threonine-
protein kinase SIK1B
isoform Iso 1 PE=2"
62	NX_A0A0C4DH24-1	3	-0.18684210526315798	"NX_A0A0C4DH24-1
nP20K IGKV6-21
IGKV6-21
Immunoglobulin kappa
variable 6-21
isoform Iso 1 PE=3"
63	NX_A0A0C4DH41-1	3	-0.029661016949152616	"NX_A0A0C4DH41-1
nP20K IGHV4-61
IGHV4-61
Immunoglobulin heavy
variable 4-61
isoform Iso 1 PE=3"
64	NX_A0A0C4DH59-1	3	-0.22631578947368414	"NX_A0A0C4DH59-1
nP20K TRBV5-4
TRBV5-4 T cell
receptor beta
variable 5-4 isoform
Iso 1 PE=3"
65	NX_A0A0C4DH62-1	4	-0.17058823529411762	"NX_A0A0C4DH62-1
nP20K IGHJ1 IGHJ1
Immunoglobulin heavy
joining 1 isoform
Iso 1 PE=4"
66	NX_A0A0C4DH73-1	3	-0.047863247863247846	"NX_A0A0C4DH73-1
nP20K IGKV1-12
IGKV1-12
Immunoglobulin kappa
variable 1-12
isoform Iso 1 PE=3"
67	NX_A0A0D9SF12-1	2	-0.031724137931034416	"NX_A0A0D9SF12-1
nP20K CCDC163
CCDC163
Transmembrane
protein CCDC163
isoform Iso 1 PE=2"
68	NX_A0A0G2JMD5-1	3	-0.09472573839662443	"NX_A0A0G2JMD5-1
nP20K PRAMEF33
PRAMEF33 PRAME
family member 33
isoform Iso 1 PE=3"
69	NX_A0A0J9YWP8-1	4	0.38125	"NX_A0A0J9YWP8-1
nP20K TRBJ1-3
TRBJ1-3 T cell
receptor beta
joining 1-3 isoform
Iso 1 PE=4"
70	NX_A0A0J9YWX3-1	4	-0.4411764705882353	"NX_A0A0J9YWX3-1
nP20K TRBJ1-6
TRBJ1-6 T cell
receptor beta
joining 1-6 isoform
Iso 1 PE=4"
71	NX_A0A0J9YX06-1	4	0.019999999999999928	"NX_A0A0J9YX06-1
nP20K TRBJ1-2
TRBJ1-2 T cell
receptor beta
joining 1-2 isoform
Iso 1 PE=4"
72	NX_A0A0J9YX75-1	3	-0.12368421052631583	"NX_A0A0J9YX75-1
nP20K TRBV6-9
TRBV6-9 T cell
receptor beta
variable 6-9 isoform
Iso 1 PE=3"
73	NX_A0A0J9YXA8-1	4	0.11333333333333329	"NX_A0A0J9YXA8-1
nP20K TRBJ1-1
TRBJ1-1 T cell
receptor beta
joining 1-1 isoform
Iso 1 PE=4"
74	NX_A0A0J9YXG5-1	4	0.1875	"NX_A0A0J9YXG5-1
nP20K TRBJ1-4
TRBJ1-4 T cell
receptor beta
joining 1-4 isoform
Iso 1 PE=4"
75	NX_A0A0J9YXM7-1	4	-0.71875	"NX_A0A0J9YXM7-1
nP20K TRBJ1-5
TRBJ1-5 T cell
receptor beta
joining 1-5 isoform
Iso 1 PE=4"
76	NX_A0A0K0K1A3-1	3	-0.46578947368421036	"NX_A0A0K0K1A3-1
nP20K TRBV10-1
TRBV10-1 T cell
receptor beta
variable 10-1
isoform Iso 1 PE=3"
77	NX_A0A0K0K1B3-1	3	0.1801801801801802	"NX_A0A0K0K1B3-1
nP20K TRBV30 TRBV30
T cell receptor beta
variable 30 isoform
Iso 1 PE=3"
78	NX_A0A0K0K1C0-1	3	-0.0739130434782608	"NX_A0A0K0K1C0-1
nP20K TRBV11-1
TRBV11-1 T cell
receptor beta
variable 11-1
isoform Iso 1 PE=3"
79	NX_A0A0K0K1C4-1	3	-0.3096491228070175	"NX_A0A0K0K1C4-1
nP20K TRBV27 TRBV27
T cell receptor beta
variable 27 isoform
Iso 1 PE=3"
80	NX_A0A0K0K1D8-1	3	-0.23157894736842113	"NX_A0A0K0K1D8-1
nP20K TRBV6-1
TRBV6-1 T cell
receptor beta
variable 6-1 isoform
Iso 1 PE=3"
81	NX_A0A0K0K1E9-1	3	-0.46347826086956523	"NX_A0A0K0K1E9-1
nP20K TRBV7-7
TRBV7-7 T cell
receptor beta
variable 7-7 isoform
Iso 1 PE=3"
82	NX_A0A0K0K1G6-1	3	-0.45438596491228067	"NX_A0A0K0K1G6-1
nP20K TRBV10-3
TRBV10-3 T cell
receptor beta
variable 10-3
isoform Iso 1 PE=3"
83	NX_A0A0K0K1G8-1	3	-0.27456140350877184	"NX_A0A0K0K1G8-1
nP20K TRBV10-2
TRBV10-2 T cell
receptor beta
variable 10-2
isoform Iso 1 PE=3"
84	NX_A0A0U1RQI7-1	2	-0.6499999999999991	"NX_A0A0U1RQI7-1
nP20K KLF18 KLF18
Kruppel-like factor
18 isoform Iso 1
PE=2"
85	NX_A0A0U1RR11-1	2	-0.5753676470588238	"NX_A0A0U1RR11-1
nP20K CENPVL1
CENPVL1 Centromere
protein V-like
protein 1 isoform
Iso 1 PE=2"
86	NX_A0A0U1RR37-1	2	-0.7489247311827959	"NX_A0A0U1RR37-1
nP20K C1orf232
C1orf232
Uncharacterized
protein C1orf232
isoform Iso 1 PE=2"
87	NX_A0A0U1RRN3-1	2	-0.03559322033898325	"NX_A0A0U1RRN3-1
nP20K SPTY2D1OS
SPTY2D1OS Putative
transmembrane
protein SPTY2D1OS
isoform Iso 1 PE=2"
88	NX_A0A183-1	2	-1.4025000000000003	"NX_A0A183-1 nP20K
LCE6A LCE6A Late
cornified envelope
protein 6A isoform
Iso 1 PE=2"
89	NX_A0A1B0GTI1-1	2	-0.9310160427807487	"NX_A0A1B0GTI1-1
nP20K CCDC201
CCDC201 Coiled-coil
domain-containing
protein 201 isoform
Iso 1 PE=2"
90	NX_A0A1B0GTI8-1	2	0.5951871657754007	"NX_A0A1B0GTI8-1
nP20K TMEM272
TMEM272
Transmembrane
protein 272 isoform
Iso 1 PE=2"
91	NX_A0A1B0GTK4-1	2	-0.16740331491712698	"NX_A0A1B0GTK4-1
nP20K FAM237A
FAM237A Protein
FAM237A isoform Iso
1 PE=2"
92	NX_A0A1B0GTK5-1	2	-0.16329113924050623	"NX_A0A1B0GTK5-1
nP20K FAM236D
FAM236D Protein
FAM236D isoform Iso
1 PE=2"
93	NX_A0A1B0GTQ4-1	2	0.005952380952380556	"NX_A0A1B0GTQ4-1
nP20K MYMX MYMX
Protein myomixer
isoform Iso 1 PE=2"
94	NX_A0A1B0GTR0-1	3	-0.19627329192546583	"NX_A0A1B0GTR0-1
nP20K EDDM13 EDDM13
Epididymal protein
13 isoform Iso 1
PE=3"
95	NX_A0A1B0GTS1-1	2	-0.8660660660660658	"NX_A0A1B0GTS1-1
nP20K HSFX4 HSFX4
Heat shock
transcription
factor, X-linked
member 4 isoform Iso
1 PE=2"
96	NX_A0A1B0GTU2-1	2	0.4559322033898305	"NX_A0A1B0GTU2-1
nP20K CTXND1 CTXND1
Cortexin domain-
containing 1 isoform
Iso 1 PE=2"
97	NX_A0A1B0GTW7-1	2	-0.14162436548223375	"NX_A0A1B0GTW7-1
nP20K LMLN2 LMLN2
Leishmanolysin-like
peptidase 2 isoform
Iso 1 PE=2"
98	NX_A0A1B0GU29-1	2	-0.1592105263157894	"NX_A0A1B0GU29-1
nP20K SMIM28 SMIM28
Small integral
membrane protein 28
isoform Iso 1 PE=2"
99	NX_A0A1B0GU71-1	2	-1.0193877551020414	"NX_A0A1B0GU71-1
nP20K CFAP97D2
CFAP97D2
Uncharacterized
protein CFAP97D2
isoform Iso 1 PE=2"
100	NX_A0A1B0GUA5-1	2	0.38446601941747566	"NX_A0A1B0GUA5-1
nP20K SMIM32 SMIM32
Small integral
membrane protein 32
isoform Iso 1 PE=2"
101	NX_A0A1B0GUA7-1	2	-0.19879518072289148	"NX_A0A1B0GUA7-1
nP20K TEX51 TEX51
Testis-expressed
protein 51 isoform
Iso 1 PE=2"
102	NX_A0A1B0GUC4-1	2	-0.7037037037037044	"NX_A0A1B0GUC4-1
nP20K MYOCOS MYOCOS
Myocilin opposite
strand protein
isoform Iso 1 PE=2"
103	NX_A0A1B0GUJ8-1	2	-0.5220588235294118	"NX_A0A1B0GUJ8-1
nP20K PNMA8C PNMA8C
Paraneoplastic
antigen-like protein
8C isoform Iso 1
PE=2"
104	NX_A0A1B0GUQ0-1	2	-0.21012658227848088	"NX_A0A1B0GUQ0-1
nP20K FAM236A
FAM236A Protein
FAM236A isoform Iso
1 PE=2"
105	NX_A0A1B0GUS0-1	2	-0.3792792792792797	"NX_A0A1B0GUS0-1
nP20K C19orf85
C19orf85
Uncharacterized
protein C19orf85
isoform Iso 1 PE=2"
106	NX_A0A1B0GUT2-1	2	-0.8768518518518521	"NX_A0A1B0GUT2-1
nP20K C10orf143
C10orf143
Uncharacterized
protein C10orf143
isoform Iso 1 PE=2"
107	NX_A0A1B0GUU1-1	2	-0.011703703703704096	"NX_A0A1B0GUU1-1
nP20K C17orf113
C17orf113
Transmembrane
protein C17orf113
isoform Iso 1 PE=2"
108	NX_A0A1B0GUV7-1	2	-0.8983333333333334	"NX_A0A1B0GUV7-1
nP20K TEX48 TEX48
Testis-expressed
protein 48 isoform
Iso 1 PE=2"
109	NX_A0A1B0GUW7-1	3	0.19454545454545466	"NX_A0A1B0GUW7-1
nP20K SMIM27 SMIM27
Small integral
membrane protein 27
isoform Iso 1 PE=3"
110	NX_A0A1B0GV22-1	2	-0.21012658227848088	"NX_A0A1B0GV22-1
nP20K FAM236B
FAM236B Protein
FAM236B isoform Iso
1 PE=2"
111	NX_A0A1B0GV85-1	2	-0.35817490494296556	"NX_A0A1B0GV85-1
nP20K REELD1 REELD1
Reelin domain-
containing protein 1
isoform Iso 1 PE=2"
112	NX_A0A1B0GV90-1	2	0.6890909090909091	"NX_A0A1B0GV90-1
nP20K CTXND2 CTXND2
Cortexin domain
containing 2 isoform
Iso 1 PE=2"
113	NX_A0A1B0GVD1-1	2	-0.056115107913668964	"NX_A0A1B0GVD1-1
nP20K FAM237B
FAM237B Protein
FAM237B isoform Iso
1 PE=2"
114	NX_A0A1B0GVG4-1	2	-0.6615384615384619	"NX_A0A1B0GVG4-1
nP20K CCDC194
CCDC194 Coiled-coil
domain-containing
protein 194 isoform
Iso 1 PE=2"
115	NX_A0A1B0GVH4-1	2	-0.36090909090909085	"NX_A0A1B0GVH4-1
nP20K PRSS51 PRSS51
Serine protease-like
protein 51 isoform
Iso 1 PE=2"
116	NX_A0A1B0GVH6-1	2	-0.8190769230769227	"NX_A0A1B0GVH6-1
nP20K C13orf42
C13orf42
Uncharacterized
protein C13orf42
isoform Iso 1 PE=2"
117	NX_A0A1B0GVH7-1	2	-0.7706586826347291	"NX_A0A1B0GVH7-1
nP20K IQCM IQCM IQ
domain-containing
protein M isoform
Iso 1 PE=2"
118	NX_A0A1B0GVK7-1	2	-1.6922077922077927	"NX_A0A1B0GVK7-1
nP20K FAM240A
FAM240A Protein
FAM240A isoform Iso
1 PE=2"
119	NX_A0A1B0GVM5-1	2	-0.8186440677966101	"NX_A0A1B0GVM5-1
nP20K ETDC ETDC
Embryonic testis
differentiation
protein homolog C
isoform Iso 1 PE=2"
120	NX_A0A1B0GVM6-1	2	-0.7182539682539684	"NX_A0A1B0GVM6-1
nP20K C11orf97
C11orf97
Uncharacterized
protein C11orf97
isoform Iso 1 PE=2"
121	NX_A0A1B0GVN3-1	2	-0.3694339622641515	"NX_A0A1B0GVN3-1
nP20K C2orf92
C2orf92
Uncharacterized
protein C2orf92
isoform Iso 1 PE=2"
122	NX_A0A1B0GVR7-1	2	-0.9589473684210528	"NX_A0A1B0GVR7-1
nP20K FAM240C
FAM240C Protein
FAM240C isoform Iso
1 PE=2"
123	NX_A0A1B0GVS7-1	2	-0.5746031746031748	"NX_A0A1B0GVS7-1
nP20K MDFIC2 MDFIC2
MyoD family
inhibitor domain-
containing protein 2
isoform Iso 1 PE=2"
124	NX_A0A1B0GVV1-1	2	0.2964705882352943	"NX_A0A1B0GVV1-1
nP20K SMIM35 SMIM35
Small integral
membrane protein 35
isoform Iso 1 PE=2"
125	NX_A0A1B0GVY4-1	2	-0.7999999999999999	"NX_A0A1B0GVY4-1
nP20K SMIM31 SMIM31
Small integral
membrane protein 31
isoform Iso 1 PE=2"
126	NX_A0A1B0GVZ2-1	2	-1.3730769230769233	"NX_A0A1B0GVZ2-1
nP20K FAM240B
FAM240B Protein
FAM240B isoform Iso
1 PE=2"
127	NX_A0A1B0GVZ6-1	2	-0.6318627450980395	"NX_A0A1B0GVZ6-1
nP20K MBD3L2B
MBD3L2B Methyl-CpG-
binding domain
protein 3-like 2B
isoform Iso 1 PE=2"
128	NX_A0A1B0GVZ9-1	2	0.5881632653061226	"NX_A0A1B0GVZ9-1
nP20K TMEM269
TMEM269
Transmembrane
protein 269 isoform
Iso 1 PE=2"
129	NX_A0A1B0GW35-1	2	-0.2011627906976747	"NX_A0A1B0GW35-1
nP20K EXOC1L EXOC1L
Exocyst complex
component 1-like
isoform Iso 1 PE=2"
130	NX_A0A1B0GW54-1	2	0.8499999999999998	"NX_A0A1B0GW54-1
nP20K SMIM39 SMIM39
Small integral
membrane protein 39
isoform Iso 1 PE=2"
131	NX_A0A1B0GW64-1	2	-0.10757575757575766	"NX_A0A1B0GW64-1
nP20K SMIM33 SMIM33
Small integral
membrane protein 33
isoform Iso 1 PE=2"
132	NX_A0A1B0GWG4-1	2	0.18555555555555556	"NX_A0A1B0GWG4-1
nP20K SERTM2 SERTM2
Serine-rich and
transmembrane
domain-containing 2
isoform Iso 1 PE=2"
133	NX_A0A1B0GWH4-1	2	-0.8579579579579577	"NX_A0A1B0GWH4-1
nP20K HSFX3 HSFX3
Heat shock
transcription
factor, X-linked
member 3 isoform Iso
1 PE=2"
134	NX_A0A1B0GWK0-1	2	-0.6216417910447762	"NX_A0A1B0GWK0-1
nP20K PVALEF PVALEF
Parvalbumin-like EF-
hand-containing
protein isoform Iso
1 PE=2"
135	NX_A0A1B0GX31-1	3	-0.4669565217391304	"NX_A0A1B0GX31-1
nP20K TRBV7-6
TRBV7-6 T cell
receptor beta
variable 7-6 isoform
Iso 1 PE=3"
136	NX_A0A1B0GX51-1	3	-0.26347826086956516	"NX_A0A1B0GX51-1
nP20K TRBV7-8
TRBV7-8 T cell
receptor beta
variable 7-8 isoform
Iso 1 PE=3"
137	NX_A0A1B0GX68-1	3	-0.18	"NX_A0A1B0GX68-1
nP20K TRBV2 TRBV2 T
cell receptor beta
variable 2 isoform
Iso 1 PE=3"
138	NX_A0A1B0GX78-1	3	-0.1	"NX_A0A1B0GX78-1
nP20K TRBV12-5
TRBV12-5 T cell
receptor beta
variable 12-5
isoform Iso 1 PE=3"
139	NX_A0A1B0GX95-1	3	-0.4765217391304348	"NX_A0A1B0GX95-1
nP20K TRBV7-4
TRBV7-4 T cell
receptor beta
variable 7-4 isoform
Iso 1 PE=3"
140	NX_A0A1W2PP97-1	2	-0.39739130434782605	"NX_A0A1W2PP97-1
nP20K THSD8 THSD8
Thrombospondin
type-1 domain-
containing protein 8
isoform Iso 1 PE=2"
141	NX_A0A1W2PPF3-1	2	-0.925797101449274	"NX_A0A1W2PPF3-1
nP20K DUXB DUXB
Double homeobox
protein B isoform
Iso 1 PE=2"
142	NX_A0A1W2PPM1-1	2	-0.8533333333333335	"NX_A0A1W2PPM1-1
nP20K CPHXL CPHXL
Cytoplasmic
polyadenylated
homeobox-like
isoform Iso 1 PE=2"
143	NX_A0A1W2PQ73-1	2	-0.3310734463276841	"NX_A0A1W2PQ73-1
nP20K ERFL ERFL ETS
domain-containing
transcription factor
ERF-like isoform Iso
1 PE=2"
144	NX_A0A1W2PR19-1	2	-0.14730290456431525	"NX_A0A1W2PR19-1
nP20K GSTT4 GSTT4
Glutathione
S-transferase
theta-4 isoform Iso
1 PE=2"
145	NX_A0A1W2PR82-1	2	-0.7505617977528081	"NX_A0A1W2PR82-1
nP20K PERCC1 PERCC1
Protein PERCC1
isoform Iso 1 PE=2"
146	NX_A0A1W2PS18-1	2	-0.0666666666666668	"NX_A0A1W2PS18-1
nP20K PMIS2 PMIS2
Transmembrane
protein PMIS2
isoform Iso 1 PE=2"
147	NX_A0A286YF58-1	2	-0.0576623376623381	"NX_A0A286YF58-1
nP20K TMEM271
TMEM271
Transmembrane
protein 271 isoform
Iso 1 PE=2"
